annotation_id,conversation_id,customer_id,turn_count,D1_context_specificity,D2_action_specificity,D3_dm_redirect,D4_observable_outcome,customer_messages,agent_messages,evidence_complete,action_observed,customer_reaction_observed,dm_redirect,notes
11,1089850,377120,2,0.0,0.0,0,silence_after_action,そういやアマゾン届かない。,@377120 アマゾンです。注文履歴に記載のお届け予定日を過ぎても届かない場合は、発送元をご確認の上、それぞれの方法でお問い合わせください。アマゾン→https://t.co/NtNAX37Sr4、出品者→https://t.co/6DRvmeZZxA  ET,,,,,
12,356726,200704,2,0.85,1.0,0,silence_after_action,Third failed delivery from @amazonhelp. This is getting ridiculous. https://t.co/1X95jn940n,@200704 Oh no... We'd like to take a closer look from our department. Please provide your info here: https://t.co/At8R2RK5zm ^MJ,,,,,
13,802417,311204,11,0.75,0.0,1,neutral_reaction,"@115821 
Dear buyers beware of Amazon they are miss selling and giving wrong commitment. Pls double check their cash back offer. || @115821 Recently i have been cheated by Amazon for a cash back offer on mobile phones. Amazon is now in unethical business. || @115821 I clarified with Amazon before purchase. Now they are saying sorry for wrong commitment. I will not get cash back. || @115821 Dear buyers beware of such buttering. You may be the next victim. Dear Amazon can you clarity plz. || @AmazonHelp I have shared my experience with you. Pls check my message. || @AmazonHelp I have shared my experience in my earlier message. You can reach me on 9819416897. || @AmazonHelp Your earliest response will be highly appreciated. || @AmazonHelp Pls delete the order details if it is personal.","@311204 Apologies for the experience, Jawed. Please share your details here: https://t.co/GIJyeYqKE0 and I'll get in touch with you. ^MK || @311204 We'll check and revert via DM Jawed.^HN || @311204 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^SS",,,,,
14,342969,197652,3,0.45,0.0,1,positive_reaction,"@AmazonHelp please, I just sent you a dm, would you please answer me asap ? thank you x || @AmazonHelp Thank you!","@197652 Hello, we just answered to your DM. ^BR",,,,,
15,1378136,440821,7,0.15,0.0,0,positive_reaction,"間違って、お試しのAmazonプライムにはいるつもりが、本チャン入会してしまた…(:3_ヽ)_

3900円…

こうなったら沢山使ってやる！
送料無料を利用して( ｡•̀_•́｡)

とりま洗剤とペーパーかなw || @AmazonHelp ありがとうございます(^^)
会員になったからには、しっかりお得に使いたいと思います。
素敵なリプありがとうございます！Amazonさんが好きになりました♡ || @AmazonHelp このリプみて、早速、ペットボトルのお茶を1ダース買いました！安いし送料無料だし、すぐ届くし、重くないから良いかもですね(^^)ありがとうございます♡

Amazonさん大好きなりました！ || @AmazonHelp はい(*´︶`*)♡Thanks!",@440821 意図しない形でのご登録となったところ誠に恐縮ですが、Amazonプライムでは様々な特典をご用意しております。よろしければ、リンクをご参照ください。https://t.co/qjaFIyMkEk TN || @440821 嬉しいお言葉、ありがとうございます♪(*´∇｀*) どうかこれからもhttps://t.co/st4oU5QbhPをよろしくお願いいたします～♪ (*^^*) TN || @440821 さっそくのご注文ありがとうございます！(＾▽＾)/ お届けまで今しばらくお待ちくださいませ～♪ ＼(＾▽＾)／ TN,,,,,
16,2884157,133008,7,1.0,1.0,0,neutral_reaction,"Not content with dumping my book delivery down the side of the bin whilst it was raining last week, my @115830 delivery people have potentially stolen one of my parcels 😒 || @AmazonHelp I haven’t had a chance yet as I’m at work. 3/4 times now this month that my Prime orders have been delayed. This one has been delayed twice and then “lost”! || @AmazonHelp I’ll be going on live chat after work, still need to discuss my parcel that was dumped in my garden, no card through the door, found it four days later after it had rained all week. || @AmazonHelp It just arrived","@133008 I am very sorry to hear this. Can I ask, have you reached out to our customer service team to report this and if so, what resolution was offered to you please?^GA || @133008 When you have time please get in touch with us here: https://t.co/hApLpMlfHN We'll be glad to help!^CN || @133008 Hi Rachel, please let us know how you get on when you contact us via chat. We will do our best to help. ^JC.",,,,,
17,1602164,491798,2,0.75,1.0,0,silence_after_action,@115850 Now amazon start fooling there customer also! Already did pick up and again send the pick up guy for the same (Shameless ppl)!!,@491798 Sorry for the hassle. Please report this to our support team here: https://t.co/vlvfJr4nN9 and we'll check this. ^HN,,,,,
18,830786,317833,7,0.6,0.0,0,negative_reaction,"@AmazonHelp Cannot view any of the products on your UK pages: ""We encountered an error due to invalid parameters. Please try this link. "" || @AmazonHelp Tried all that, nothing works. Amazon says it is a known problem, but seems unable to fix it. || @AmazonHelp It works OK on my Windows phone, but that isn't what I want as I rely on my desktop PC. || @AmazonHelp Yes, &amp; got the usual non-sensical response from some Indian whose grasp of English was as appalling as is usual with UK (sic) Seller Support","@317833 Oh no! We recommend clearing cache and cookies, or trying another web browser. Let us know how this helps! ^MB || @317833 Have you tried a different device? ^KM || @317833 Have you been in touch with us here:  https://t.co/JzP7hlA23B ?^CD",,,,,
19,1482920,361883,9,1.0,0.0,1,negative_reaction,"Apparently one of the benefits of @115821 and #amazonprime is a passive aggressive agent and not shipping by est deliv dates. #awesome! || @AmazonHelp I never received a survey, and the only options presented were like pulling teeth. No options were presented. Miserable service || @AmazonHelp DM me please? || @AmazonHelp Or do I need to continue on here? || @AmazonHelp Or not","@361883 We'd like to ensure you receive your delivery. What options did we provide when you spoke with us? (2/2) ^DG || @361883 I'm sorry for the poor experience! We appreciate the feedback. Please fill out the survey provided after your call/chat. (1/2) || @361883 We are here to help! What is the current status of your order? You can find out here: https://t.co/kTdtg79hsI || @361883 Hey Matt, I'm sorry for the delay in our response! We'll be happy to DM with you: https://t.co/3Z71QycggA ^PF",,,,,
20,254588,176511,5,0.6,0.0,0,neutral_reaction,"@AmazonHelp came home to this just left on my doorstep... good thing I live in a safe neighbourhood https://t.co/XcfNFSDDAf || @AmazonHelp Nope, but surely this isn't considered to be acceptable?! || @AmazonHelp Surely telling drivers not to just leave things on people's doorsteps will help prevent this happening again","@176511 Uh oh! Has a safe place been set up on the account: https://t.co/0jBVLkA6DD We're here to help! ^ML || @176511 If you use the link ^ML provided, this will help prevent this from happening again. ^MH",,,,,
21,932301,341146,8,0.85,1.0,0,neutral_reaction,"@AmazonHelp hi one of the products I bought through you guys has malfunctioned and the supplier are awful at replying.. need a replacement || @AmazonHelp It was sold by ""Amazon EU S.a.r.L"" || @AmazonHelp Ultimate Ears BOOM 2 Wireless/Bluetooth Speaker (Waterproof and Shockproof) - Purple/Orange https://t.co/dZO13GAAxa || @AmazonHelp  https://t.co/X9SIgDK75k","@341146 I'm sorry to hear this, Brett! Was this item sold by a 3rd Party seller on our site? ^MW || @341146 Do you mind sending us a link to the item? We'd like to take a closer look. ^NM || @341146 Thank you! Have you been able to view what options are available here: https://t.co/aaDyEz1VgE ^NM || @341146 We can take a closer look at the order and into any available options. Please contact us here: https://t.co/JzP7hlA23B ^EP",,,,,
22,1279054,366269,7,1.0,0.0,0,negative_reaction,"The tracking details show me it is expected to deliver between 26th-29th. So it's def not hapng today. @AmazonHelp stick to your commitments || @AmazonHelp I have filled that form. How will it help? I still won't get my order tonight. || @AmazonHelp I want the order to be delivered by tomorrow morning on priority. || @AmazonHelp Also, stop promising and charging for One Day Delivery if you cannot keep up to it.","@366269 This link, and we'll get back to you at the earliest: https://t.co/beaaDm0muc ^SM (2/2) || @366269 We realize the importance of this order or you. Please share your details here though ^SM (1/2) || @366269 Thank you for confirming, Sumedha. Our team will communicate with you very soon. Appreciate your understanding. ^MP",,,,,
23,463422,225147,2,0.75,1.0,0,silence_after_action,@115850  had complaint on 408-5664066-2980338 ; for last 15 days not being resloved. Never seen Amazon acting this slow. Bad packing from Supplier and masala all over the place despite raising the issue no resloution seen. 3 complaint raised so far to Amazon,"@225147 I’m sorry about this experience. I’d like to assist you, please fill this form: https://t.co/beaaDm0muc and I’ll contact you at the earliest. Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​ ^RW",,,,,
24,734692,215588,11,0.6,0.0,0,positive_reaction,"@AmazonHelp Any update on results as today is 30th Nov || @AmazonHelp And what about #OnePlusTrainOfCards contest || @AmazonHelp Ok, Thank you || @115850 @AmazonHelp are the results of #SkullCandyPartyHop  #OnePlusTrainOfCards declared?? || @AmazonHelp These were app based contests so I dont have a link. I can share a screenshot I took https://t.co/1o9tmKOiOZ || @AmazonHelp Thank you","@215588 The link to the results is here: https://t.co/hU0C7jP8dY. ^HA || @215588 The results will be announcement by 30th November 2017, Abhinav. ^HD || @215588 Could you help us with the links to these contests for better understanding? ^HK || @215588 Thanks you, Abhinav. The results will be out by 30th October 2017. Please stay tuned and wishing you the luck. ^NK || @215588 You're welcome. Do keep us posted for any further issues. ^AP",,,,,
25,1426212,451325,2,0.6,0.0,0,silence_after_action,@115850 Alexa app is not available in India. How will #EchoDot work ?,@451325 The Alexa app is available for download in the App Store / Play Store. ^KA,,,,,
26,2377209,685625,6,0.85,1.0,0,positive_reaction,"@AmazonHelp Someone hacked my account and changed the email and password so I no longer have control of it at all. Someone help me please get my account back and tell me how I go about getting in contact with someone to help me. || @AmazonHelp Thank you! I'll be sending a message on the website ASAP. || @AmazonHelp The outcome was great. Your staff helped me regain control of my account very quickly. I'm extremely thankful and have nothing, but praise for the customer service team. #Amillionthankyous",@685625 I'd like to have a member from our support team lend you a hand with this; please use this link so we may assist you: https://t.co/jzvkhdlrK5 ^WM || @685625 You're welcome! Please keep us updated on the outcome!  ^LR || @685625 We're glad that we were able to assist! Please don't hesitate to reach out to us in the future. ^FJ,,,,,
27,1266334,323902,2,1.0,1.0,0,silence_after_action,"I have ordered TV from @115850, it got delivered to wrong address and now u guys saying not amzn but seller is responsible 4 this.(1/2)",@323902 Apologies for the miss with your order. Please connect with us here: https://t.co/vlvfJr4nN9 and we'll take a closer look. ^HK,,,,,
28,2187376,640552,7,0.75,1.0,0,positive_reaction,"@115830 took u up on offer- £6 add if I bought giftcard for £30 - I was approved-where is it?  giftcard still says £30 || @AmazonHelp Email confirms gift card purchase £30 On my account it said by invitation only &amp; I checked twice &amp; both times it said I was eligible || @AmazonHelp I have now also redeemed topcashback to an Amazon giftcard based on this so really feeling mislead or at worst, defrauded. || @AmazonHelp Thank you. Have read t&amp;c and it can take up to 48 hrs to add FYI too :(","@640552 I believe the offer puts a promotional balance on your account. Have you checked your e-mail for a benefit confirmation? ^MJ || @640552 We'd like to help, Kim! Could you send us a link to the promotion, so we can look into the specifics of the offer? ^ZW || @640552 Understood, let us know if you need additional assistance with this promotion! ^SH",,,,,
29,248156,174955,6,0.85,0.0,1,negative_reaction,"Fake update The courier was unable to contact the recipient to arrange delivery. Please contact Amazon.
Mumbai, IN https://t.co/ZbqYyoYbGn || @AmazonHelp if your delivery person  fake update &amp; can not delivered items that address​how is getting option to dilver that location || @AmazonHelp   I was already board to ​purchase this item from Amazon so can not any contact &amp; deliver if can't​reach not get any options || @AmazonHelp  look this until not delivered by Amazon https://t.co/Q9XxBbavpf","@174955 Sorry about the experience with your delivery. We've responded to your query via DM. Please check. 1/2 ^HD || @174955 Please don't provide your details, we consider it personal information. Our Twitter page is visible to public. 2/2 ^HD",,,,,
30,63132,130473,7,0.6,1.0,1,positive_reaction,@115821 @AmazonHelp @120319 @734 @3544 @130474 @120320 @115851. No repsonse from amazon yet. Pathetic services || @AmazonHelp @115821 @AmazonHelp @120319 @734 @3544 @130474 @120320 @115851... I did respond back to... Thanks || @AmazonHelp Haven't got one yet!!,"@130473 We've responded to your query via DM. Please check. ^HD || @130473 Please reply to the email sent by us for further queries and we'll assist you accordingly. ^NR || @130473 details in the link provided earlier and we'll look into it. (2/2)^SQ || @130473 If you haven't received any correspondence, request you to share your (1/2)^SQ",,,,,
31,948447,344924,12,0.75,0.0,1,negative_reaction,"I have never ordered from @116090  until yesterday. As of now, their utter uselessness has me convinced to never do so again! || @116090 @116090 @amazonhelp so far, yr CSR's have cost me +30 mins of cell mins. This hold alone so far, 11 min to even get a CSR on the line!!! || @116090 @AmazonHelp Then they failed repeatedly to get my postal code into a zip code slot &amp; to CLUE in that it is a Canadian cust.1st rep also disconnected me || @116090 @AmazonHelp Then the next rep transferred me which took forever to achieve. Then Canadian rep failed to call me back as requested || @116090 @AmazonHelp Now 21 minutes into next call...I am now on call with logistics || @AmazonHelp I am so fed up....and it did not show up on logistics redirect back before 8:30pm It was part of 11yo DD's Halloween costume for morning. || @AmazonHelp DM if you want || @AmazonHelp Which time? 5 contact calls.
On 4th, they said they were asking courier to return. There was still 2hrs til 8:30. Never showed. Pls DM || @AmazonHelp Tomorrow.","@344924 I'm sorry for the poor experience! Without giving any account or personal details, can you tell us more about what's going on? ^EA || @344924 Though delays are possible, this is not the experience we hope for! Were there any options provided when you contacted us? ^SG || @344924 We'd love to assist you with this issue. If you'd like to DM us, please use the link below. ^KB https://t.co/1XyLaGkcaN",,,,,
32,1152538,391219,8,0.75,1.0,1,neutral_reaction,"@AmazonHelp I ordered apple SE 32 gbon 17th oct 2017 but i got today a itel phone wich is cost 1690/-. What should i do? || @AmazonHelp That I don't know. __email__ this my mail id with ur account, plz check. || @AmazonHelp Please check and let me know when i will get back my phone. || @AmazonHelp I believe transportation was amazone and seller wae greenmobile. Check it plz","@391219 I'm sorry to hear the incorrect phone was received, Sourav! Was the order dispatched from https://t.co/hSs9w9f1pF or seller? ^CS || @391219 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^SM (2/2) || @391219 We've responded to your query via DM. Please check. ^SM (1/2) || @391219 I’d like to help you; please fill this form: https://t.co/beaaDm0muc and I’ll contact you soon. ^SU",,,,,
33,713320,290615,7,0.75,1.0,0,negative_reaction,"As much as I like the idea of @117093, I’m not sure I can justify a monthly fee when there are errors EVERY, DAMN, TIME. #bummer || @AmazonHelp Delivered to the wrong area, fresh produce frozen, wrong item delivered (not swapped, just the wrong one sent). || @AmazonHelp I reach out direct and get fast service, but it's just become a hassle again, can't really justify a monthly subscription fee for that. || @AmazonHelp I did, was given another refund for an item that was damaged and an apology.",@290615 Terribly sorry your running into troubles with Fresh! What specific issues are you running into? ^JZ || @290615 I'm sorry we've let you down; that's never our intent! Have you already contacted us to explore options to resolve this? ^MV || @290615 I can certainly understand any frustration. Please let us know if you continue to have trouble. ^LI,,,,,
34,319151,192121,10,0.25,1.0,1,positive_reaction,@AmazonHelp Can you please reply to my DM? || @AmazonHelp Thank you. I've followed the instructions given in the DM. || @AmazonHelp I'll appreciate it by 8 pm tonight if possible. || @AmazonHelp Would have been great if it had been about delivery! I wanted to know the reason for the inconsistency in the amounts. || @AmazonHelp Thanks. It's 'almost' resolved.,"@192121 We've responded to you via DM.  ^HN || @192121 Thank you for keeping us posted. We'll get back to you soon. ^SK || @192121 We do delivery by the end of the day. I'm positive that it will be done. ^HA || @192121 We'll update you on all the details, do keep an eye on your mailbox. ^HT || @192121 We'll resolve it as soon as possible. ^HN",,,,,
35,517707,239077,2,0.7,0.0,1,silence_after_action,"@AmazonHelp You asked for my tracking information, how should i get it to you?","@239077 Thank you for the information you sent in your DM. If your order hasn't arrive by Sunday at 8 PM, please let us know: https://t.co/hApLpM3Ejd ^LR",,,,,
36,372876,204358,2,1.0,1.0,0,silence_after_action,Hey @115821 my @1511 got delivered today. I wasn’t home. Local dog destroyed it. What do I do?  Everything shredded.,@204358 You can look into refund/possible replacement options here: https://t.co/Y5jpI9gRhE. Let us know if you have any questions! ^TG,,,,,
37,2691750,756669,4,1.0,1.0,0,neutral_reaction,@115850 Order 4__credit_card__ and 4__credit_card__. it showing near my home 10km nabadwip from 7-8days but still no one come to deliver it. amazon customer serivce not helping. disconnecting calls. Prime User. || @AmazonHelp already many time contacted to customer service. now do what you people can.  very bad service from amazon,"@756669 Apologies for the delay in the delivery. Could you please share the details here: https://t.co/beaaDm0muc so that I can take immediate action? Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^PR || @756669 We'd like to sort this for you. However, being on social platform, we don't have access to your account from here to work on this. Please share your details using the secured link provided earlier and let us know. We'll be sure to reach out to you with an update. ^VN",,,,,
38,900974,318521,8,1.0,0.0,1,positive_reaction,"@115851 @115850 @115821 ..Past 3 order not dlvrd # 406-3514249-9912306/ 954/ 906 &amp; get cncld,amazon transport is worst ever i saw || @AmazonHelp DM you.Please check the same. || @AmazonHelp Thanks,I have received the item","@318521 I understand the inconvenience you faced with your order deliveries. Please provide (1/3)^SF || @318521 your order details, we consider it to be personal information. Our page is visible to the public. (3/3)^SF || @318521 your details here: https://t.co/beaaDm0muc and we'll assist you right away.  Please don't provide (2/3)^SF || @318521 We've responded to your query via DM. Would request you to have a look at it. ^AB || @318521 Glad to know that. Have a great day ahead! ^HA",,,,,
39,2385839,687606,7,0.7,1.0,1,negative_reaction,Such a ridiculous service by #AmazonIndia.Rescheduled my delivery without informing me.Cancelling my order now. || @AmazonHelp I want solution not respond.Try to put some efforts in delivering product not https://t.co/uDcDVyDp0D wasted my 3 days. || @AmazonHelp I cancelled the order coz amazon failed to deliver it. Go check your chat section with my ID. I had contacted 3 ppl fro Amazon already.,"@687606 We've responded to your DM, please check. ^KA || @687606 Also, I've forwarded your feedback internally to the appropriate team as it helps us improve customer experience. 2/2 ^RS || @687606 Please accept a sincere apology for the mess. However, once an order is canceled, the same order cannot be delivered. 1/2 ^RS || @687606 I'm sorry about your canceled order. We've passed on your feedback to the concerned team internally and they'll check it. ^AU",,,,,
40,1891371,564005,6,1.0,0.0,0,positive_reaction,@115850 my orders 405-3303122-0102700 and 405-2724334-8547546 hasn't been delivered even though it has reached the destination. || @AmazonHelp Yes estimated last date was 16th and 17th for the 2 orders. || @AmazonHelp Thanks. Much appreciated,"@564005 We ship the products to meet the estimates, could you please tell us if we've missed the estimated delivery date? 1/2^HN || @564005 Please don’t provide your order details as it is personal information. Our page is visible to the public.2/2^HN || @564005 Apologies for the delay. Please share your details here: https://t.co/GIJyeYqKE0 and I'll get back to you. ^HN",,,,,
41,2208509,645644,7,1.0,0.0,0,positive_reaction,"Ordered an item from @115821 and chose two day shipping because I'm a Prime member, and expected delivery date is a week from the order date https://t.co/Tt2Q85r925 || @AmazonHelp Thanks for the response. I do understand what the shipping time means. However, when that's the only estimate Amazon uses re: time ... || @AmazonHelp for orders, that's all customers have, and it becomes very misleading if the entire order takes a whole week. || @AmazonHelp I'm also used to the reality being that when I order a product, I receive it within 2 to 3 days of my order. || @AmazonHelp Thank you.","@645644 I'm so sorry for the wait! Two-Day shipping refers to transit time, after the order has shipped. ^WJ || @645644 Thank you for your feedback. We'll provide an accurate delivery date at checkout. Please let us know if we miss this date. ^DG",,,,,
42,2116119,623787,6,0.6,1.0,0,positive_reaction,"@115821 @115850 this is not true. The courier never arrived. https://t.co/NgyKxl4QWN || @AmazonHelp Thank you for responding so promptly. I did try contacting, but the IVR has no option to talk to anyone, it just keeps giving me status update of my order. || @AmazonHelp Done. Thank you.","@623787 That's strange, please contact us here: https://t.co/rS49hgaADF so that we can assist you accordingly. ^SU || @623787 We definitely didn't intend this experience, please fill this form: https://t.co/GIJyeYqKE0, we'll connect with you shortly. ^MP || @623787 Thank you for sharing your details. We'll get back to you at the earliest. ^KH",,,,,
43,2618108,237004,2,0.85,0.0,0,silence_after_action,@115830 if I am having issues with receiving an order being delivered how do I go about  resolving this?,"@237004 We'd be glad to assist you with this, Toni! Without posting personal account information, tell us more about your situation. ^FR",,,,,
44,2600228,736061,4,1.0,0.0,1,neutral_reaction,"@115850 What the hell is this why are you making excuses again and again I am enquiring about my product of led tv  since 5 days but I am not getting the response from you,again and again you are telling me to respond me within 2 days did I made a mistake placing the order. || @AmazonHelp I had messaged you order no.i want you to resolve it by today",@736061 I'm sorry to hear you are yet to receive your order. Let me work on this right away. Kindly fill in your details here https://t.co/rhPL58S8HI and we'll reach out to you for assistance. ^VM || @736061 We've responded to your concern via DM. Kindly refer. ^EM,,,,,
45,525601,241598,2,0.0,0.0,0,silence_after_action,Amazon Primeビデオに「永い言い訳」が入ってる、、、！,@241598 |ω･`)ﾁﾗｯ お時間があるときにでも、ぜひご覧ください～！https://t.co/6t6vhnQH2s RI,,,,,
46,1490372,454812,4,1.0,1.0,0,neutral_reaction,@AmazonHelp can u help this keeps popping up every time i want to buy my friend something from their wishlist and it’s done this to EVERY item in the wishlist https://t.co/JrrX9IY0k3 || @AmazonHelp yes,@454812 Does the person you are buying for have a shipping address set up for their wishlist?  ^WB || @454812 Please reach out to us here https://t.co/hApLpMlfHN so we can look specifically at your account and look deeper into what the problem might be.  Thank you! ^WB,,,,,
47,2388058,169758,3,0.7,0.0,1,positive_reaction,@AmazonHelp please check DM and reply.. Order details are in DM || @AmazonHelp Ok thank you,@169758 We've responded to your query over DM. Kindly check. ^SY,,,,,
48,862571,324812,3,0.75,1.0,0,neutral_reaction,"@119625 check out the last supporting actor name XD
Lol that's not how you spell his name https://t.co/cVdOJyeErM || @AmazonHelp The curious case of Benjamin Button
And it should be Mahershala Ali",@324812 We'd like to check this. Could you please help us with the title? ^VN,,,,,
49,2463085,705039,2,1.0,0.0,1,silence_after_action,"@115850  Your customer service sucks. It's been more then a month now that my return packages haven't been picked up even after calling the customer service more then 10 times. And now my number has been blocked. Is this the customer service ya'll provide, Amazon India?","@705039 We've responded to your DM, please check. ^KA",,,,,
50,1936466,148571,3,0.45,0.0,1,positive_reaction,"Hey @AmazonHelp need help, kind of urgent. Pl refer to my msg || @AmazonHelp Thanks","@148571 We've responded to your query via DM, request you to check the same. ^SH",,,,,
51,1363730,354329,5,0.85,0.0,1,negative_reaction,"@115850 
You should not take orders, if you cannot ensure delivery. || @AmazonHelp And I have DM'ed you more. Look at the full thing. Why was no action taken, when I informed first time about wrong message. || @AmazonHelp Why was there a wrong update 'ubable to contact' when there was no call. || @AmazonHelp Then second time, the item is returned on the basis, customer refused. I WAS NEVER CONTACTED.","@354329 Shreysee, we've responded to you via DM, kindly take a look. ^MS",,,,,
52,1278047,419093,2,0.6,1.0,0,silence_after_action,Hey @115830 @127161 this is neither MY designated safe place or A safe place.,@419093 I'm sorry to hear your order wasn't delivered as instructed. We'd be happy to look into this: https://t.co/JzP7hlA23B ^BN,,,,,
