annotation_id,human_conversation_id,human_evidence_complete,semantic_conversation_id,semantic_ec,intent_conversation_id,intent_ec,ec_conversation_id,ec_selected_score,ec_selected_ec,full_conversation_id,full_selected_score,full_selected_ec
83,2280500,YES,2280500,0.82,2280500,0.82,2280500,0.9197975060939788,0.82,2280500,0.8434123262166978,0.82
103,1347549,YES,1347549,0.52,1347549,0.52,1347549,0.6703353700637817,0.52,1347549,0.6581206479072571,0.52
166,1605135,NO,1605135,0.31,1605135,0.31,1605135,0.6454895310401916,0.31,1605135,0.4960989172458649,0.31
12,2764438,YES,2764438,0.445,2764438,0.445,2764438,0.7647094569206236,0.445,2764438,0.7349502875804901,0.445
77,2278373,NO,2278373,0.18,2278373,0.18,787550,0.9032239341735839,0.925,787550,0.6766402339935303,0.925
54,306929,NO,306929,0.075,306929,0.075,306929,0.668783608675003,0.075,306929,0.522794263958931,0.075
139,2288561,YES,2288561,0.52,2288561,0.52,2288561,0.8494658050537109,0.52,2288561,0.7988659896850586,0.52
200,230072,NO,1652448,0.415,1652448,0.415,565855,0.654040818452835,0.58,984045,0.533059502363205,0.535
19,2385836,NO,2385836,0.72,2385836,0.72,2385836,0.7891963634490966,0.72,2385836,0.7443685712814332,0.72
164,2184781,NO,2184781,0.255,2184781,0.255,844128,0.8211633696556091,0.88,844128,0.7637712190151216,0.88
150,1936464,NO,1936464,0.435,1936464,0.435,138072,0.847762825012207,0.715,138072,0.640563648223877,0.715
85,38802,YES,38802,0.745,38802,0.745,38802,0.8461602375507354,0.745,38802,0.6382330437898637,0.745
134,197806,NO,197806,0.27,197806,0.27,11596,0.8347639603614807,0.64,11596,0.7830288259983064,0.64
171,2621028,YES,2621028,0.745,2671579,0.36,2621028,0.8249019072055817,0.745,2671579,0.6593127520084381,0.36
190,289006,YES,289006,0.7,289006,0.7,289006,0.9099999999999999,0.7,289006,0.6900000000000001,0.7
53,352903,YES,2281484,0.43,979494,0.475,918904,0.6847805256843567,0.79,2104991,0.6276426641941071,0.64
105,231745,NO,944162,0.79,944162,0.79,2710885,0.8257971122264862,0.88,2710885,0.7674120167493821,0.88
46,1279904,NO,593362,0.775,593362,0.775,593362,0.8426762652397155,0.775,593362,0.8844242084026337,0.775
115,507114,YES,507114,0.61,507114,0.61,2925514,0.8191996178627013,0.82,2925514,0.714371128320694,0.82
42,2187356,NO,2187356,0.52,2187356,0.52,1562866,0.8934550881385803,1.0,1562866,0.8162861406803132,1.0
24,340859,NO,1415541,0.52,1415541,0.52,1239298,0.7223719730377197,0.88,1239298,0.6111494073867798,0.88
161,511713,NO,511713,0.18,511713,0.18,511713,0.754,0.18,511713,0.5860000000000001,0.18
172,1737617,NO,1737617,0.345,1737617,0.345,283535,0.7873172764778136,0.835,1737617,0.5942434015274047,0.345
173,582618,NO,582618,0.42,582618,0.42,990214,0.7851145560741424,0.79,990214,0.7386614369153977,0.79
170,418435,NO,418435,0.82,418435,0.82,418435,0.9102198920249939,0.82,418435,0.8358870580196381,0.82
178,888340,NO,1096648,0.865,1096648,0.865,1096648,0.788980493068695,0.865,1096648,0.7390203874111176,0.865
143,2602238,YES,1723883,0.52,1723883,0.52,2719435,0.7632669043540954,0.775,2719435,0.7220311391353608,0.775
95,1212685,YES,69771,0.475,69771,0.475,2345634,0.8092482273578643,0.835,1140953,0.7937487938404083,0.52
51,380430,YES,380430,0.3,2117782,0.685,2319778,0.8092832722663879,0.805,2319778,0.7571154282093049,0.805
129,2899668,YES,2899668,0.6,2899668,0.6,2899668,0.7604859161376953,0.6,2899668,0.7260960769653321,0.6
40,1325479,YES,1325479,0.52,1325479,0.52,1325479,0.856,0.52,1325479,0.904,0.52
60,549485,YES,549485,0.7,549485,0.7,549485,0.8953258490562438,0.7,549485,0.6784703099727631,0.7
121,394424,NO,1349087,0.43,1349087,0.43,2879485,0.7558383662700653,0.715,2879485,0.5683372877836228,0.715
108,1734582,YES,1734582,0.82,1734582,0.82,1734582,0.9151354751586913,0.82,1734582,0.9397493019104005,0.82
163,1113536,YES,1113536,0.43,1113536,0.43,765454,0.829856737613678,0.82,1113536,0.7859999672174454,0.43
125,626860,NO,626860,0.345,560604,0.82,2103426,0.7169759635925292,0.835,560604,0.6649339690208436,0.82
10,1604981,YES,1604981,0.645,2317696,0.52,1604981,0.7840982971191406,0.645,2317696,0.6955242969989777,0.52
75,2868358,YES,2868358,0.52,2868358,0.52,2868358,0.856,0.52,2868358,0.804,0.52
199,132373,NO,132373,0.13,132373,0.13,132373,0.7390001668930054,0.13,132373,0.5760001311302185,0.13
63,1432252,YES,1432252,0.745,1432252,0.745,1432252,0.9028834567070008,0.745,1432252,0.8328012874126435,0.745
175,19440,YES,19440,0.3,19440,0.3,19440,0.7593042874336242,0.3,19440,0.585881940126419,0.3
167,460023,NO,460023,0.82,460023,0.82,460023,0.8966973028182983,0.82,460023,0.9252621665000916,0.82
123,387119,YES,2555166,0.52,2555166,0.52,478636,0.7778049371242522,0.82,478636,0.7318467363119125,0.82
142,578409,NO,578409,0.31,578409,0.31,578409,0.6185973935127258,0.31,578409,0.4749693806171418,0.31
82,863372,YES,785503,0.82,863372,0.67,785503,0.7505674562454223,0.82,863372,0.6713872518539429,0.67
11,21873,YES,990722,0.34,990722,0.34,520673,0.7435597336292266,0.7,520673,0.5592255049943924,0.7
64,462534,YES,462534,0.745,462534,0.745,462534,0.9180234477519988,0.745,462534,0.694696994662285,0.745
177,183557,YES,183557,0.58,183557,0.58,326348,0.8261374514102936,0.91,326348,0.7666079975366593,0.91
101,1458044,NO,1458044,0.3,1591537,0.52,177315,0.675356077671051,0.79,177315,0.6524226324558259,0.79
137,115916,YES,2877860,0.31,2927038,0.73,608070,0.8286605515480041,0.805,400309,0.7554479079246521,0.79
188,246407,NO,379959,0.79,379959,0.79,379959,0.7784262354373931,0.79,379959,0.5834063278436661,0.79
130,1445390,NO,1445390,0.375,1445390,0.375,1445390,0.7691436171531676,0.375,1445390,0.7409342706203461,0.375
17,1120448,YES,1120448,0.295,1120448,0.295,801677,0.7385233786106109,0.655,801677,0.55687551176548,0.655
73,2915803,YES,2864654,0.58,2864654,0.58,2875681,0.7428814883232117,0.79,2875681,0.5554783122539522,0.79
148,726333,NO,726333,0.775,726333,0.775,726333,0.8869785976409912,0.775,726333,0.9192331838607789,0.775
55,2545391,YES,2545391,0.835,2545391,0.835,2545391,0.9376380984783173,0.835,2545391,0.8568942202329637,0.835
1,869856,NO,869856,0.805,869856,0.805,869856,0.884806279182434,0.805,869856,0.8164549336433412,0.805
99,2011963,YES,2305315,0.43,2885625,0.52,1399373,0.7165554413795472,0.67,2885625,0.6525284686088562,0.52
151,1608593,NO,222643,0.46,222643,0.46,843149,0.7985568149089812,0.64,843149,0.6045803545713425,0.64
93,619973,YES,619973,0.355,619973,0.355,619973,0.8065000834465027,0.355,619973,0.6210000655651092,0.355
156,2724491,NO,2724491,0.3,2724491,0.3,2614038,0.7998751602172851,0.82,2724491,0.7343643045425416,0.3
5,2974816,YES,2974816,0.52,2974816,0.52,2974816,0.7302073178291321,0.52,2974816,0.7051628925800324,0.52
168,1578308,NO,1578308,0.285,1578308,0.285,1578308,0.7855000834465027,0.285,1578308,0.6070000655651093,0.285
126,2632946,YES,2632946,0.43,2632946,0.43,2632946,0.8188381352424621,0.43,2632946,0.7780156776905061,0.43
98,760425,YES,760425,0.355,760425,0.355,760425,0.7595722320079803,0.355,760425,0.5841281822919846,0.355
154,1120423,YES,1120423,0.82,2211802,0.88,1120423,0.8193378887176513,0.82,2211802,0.6874148139953614,0.88
9,239427,NO,1750541,0.075,1750541,0.075,2799374,0.7169733295440673,0.295,2799374,0.5528004732131959,0.295
84,2855169,YES,2855169,0.715,2855169,0.715,2855169,0.7485895771980285,0.715,2460284,0.5957006351947784,0.79
160,848196,YES,848196,0.745,848196,0.745,848196,0.8809319362640381,0.745,848196,0.6655536642074585,0.745
86,2290929,YES,2290929,0.58,2290929,0.58,2290929,0.8740000834465027,0.58,2290929,0.9160000655651093,0.58
87,2910317,YES,757734,1.0,757734,1.0,757734,0.8339803040027618,1.0,757734,0.7695559531450271,1.0
14,845680,YES,355622,0.475,355622,0.475,302602,0.7564763760566711,0.7,302602,0.7193742954730988,0.7
35,792046,YES,792046,0.525,792046,0.525,792046,0.8342471730709076,0.525,792046,0.6367299216985702,0.525
174,1753347,YES,1753347,0.82,1753347,0.82,1753347,0.8399960300922393,0.82,1753347,0.7807111665010453,0.82
94,1321660,YES,1321660,0.655,1321660,0.655,1321660,0.867124828338623,0.655,1321660,0.6579195079803467,0.655
181,950260,NO,950260,0.48,950260,0.48,950260,0.7926920833587646,0.48,950260,0.7556866369247437,0.48
34,2790617,YES,2790617,0.82,2790617,0.82,2790617,0.9092011771202086,0.82,2790617,0.8850866391658785,0.82
22,492239,NO,492239,0.255,492239,0.255,492239,0.7765,0.255,492239,0.7510000000000001,0.255
133,975060,YES,975060,0.735,975060,0.735,975060,0.6876049833297729,0.735,975060,0.514011058330536,0.735
191,372168,YES,2287875,0.31,2287875,0.31,2287875,0.6637930207252501,0.31,2287875,0.5104802305698395,0.31
88,2450868,YES,2450868,0.7,2450868,0.7,2450868,0.7433333015441894,0.7,2450868,0.6590475940704347,0.7
122,2787693,NO,2787693,0.435,2787693,0.435,2787693,0.7420540921688079,0.435,2787693,0.7175067867040634,0.435
109,1370162,YES,1285477,0.49,1285477,0.49,2283962,0.8045250301361084,0.835,1494258,0.7476008846759796,0.82
104,1212741,NO,1212741,0.375,1212741,0.375,331560,0.8024707362651825,0.745,331560,0.753905578494072,0.745
146,2379749,YES,2379749,0.745,2379749,0.745,2379749,0.8525190279483795,0.745,2379749,0.7932292362451554,0.745
38,2959926,YES,2959926,0.52,2959926,0.52,2959926,0.7631106910705566,0.52,2959926,0.7310155429840088,0.52
159,279987,YES,279987,0.175,279987,0.175,279987,0.7525000834465027,0.175,279987,0.5850000655651093,0.175
70,2429494,YES,2429494,0.745,2429494,0.745,2429494,0.9106194899082184,0.745,2429494,0.6888795992136002,0.745
90,2789030,YES,2789030,0.31,2789030,0.31,2789030,0.7654715828895569,0.31,2789030,0.5903705294132233,0.31
3,907089,NO,907089,0.075,907089,0.075,1737985,0.7264368722438812,0.295,907089,0.5650000655651093,0.075
20,1445421,YES,1445421,0.79,1445421,0.79,1445421,0.9369999999999999,0.79,1445421,0.8580000000000001,0.79
68,897610,NO,897610,0.375,897610,0.375,476882,0.8610746674537658,0.685,476882,0.6520943815708161,0.685
176,2926326,YES,776047,0.775,776047,0.775,2446264,0.8259785249233246,0.88,812208,0.8549525606632233,0.775
52,1430379,YES,1430379,0.31,1430379,0.31,1430379,0.7682782225608825,0.31,1430379,0.5925757462978363,0.31
79,1043150,NO,2288278,0.4,2288278,0.4,785071,0.7736798295974732,0.67,1480520,0.6488176267147064,0.49
44,727818,YES,727818,0.475,727818,0.475,727818,0.8424999999999999,0.475,727818,0.795,0.475
65,493271,YES,493271,0.52,493271,0.52,493271,0.8168590424060821,0.52,493271,0.7732463904619218,0.52
67,1264452,YES,1264452,0.52,1264452,0.52,1094260,0.8015909285545348,0.865,1264452,0.7544369735717774,0.52
144,1701059,YES,1701059,0.82,1701059,0.82,1701059,0.8252332172393798,0.82,497307,0.6715755599737168,0.775
62,830139,NO,830139,0.345,830139,0.345,830139,0.7747939023971557,0.345,830139,0.7464452090263367,0.345
21,379772,YES,379772,0.79,379772,0.79,379772,0.9146734709739684,0.79,379772,0.9404577271938325,0.79
145,915403,YES,915403,0.675,915403,0.675,915403,0.8288456523418426,0.675,915403,0.7021287268400193,0.675
155,2332742,YES,1714325,0.445,2332742,0.745,2332742,0.7412757859230041,0.745,2332742,0.7058238317966462,0.745
184,2964021,YES,2964021,0.745,1887821,0.79,2964021,0.7823779449462891,0.745,1887821,0.7302789376974106,0.79
15,1699752,YES,1699752,0.445,1699752,0.445,1699752,0.8334999999999999,0.445,1699752,0.639,0.445
141,2827333,NO,940504,0.475,787505,0.595,845755,0.7806017861366272,0.745,845755,0.7367228319644928,0.745
140,1483559,YES,348957,0.52,348957,0.52,2402371,0.8016885087490082,0.745,348957,0.6561449685096741,0.52
76,1616321,NO,1616321,0.43,1616321,0.43,2436851,0.7327393703460693,0.685,1616321,0.6897283897399902,0.43
80,1034668,NO,1034668,0.48,1034668,0.48,1034668,0.8300634326934814,0.48,1034668,0.7850498399734498,0.48
