annotation_id,conversation_id,customer_id,turn_count,D1_context_specificity,D2_action_specificity,D3_dm_redirect,D4_observable_outcome,customer_messages,agent_messages,evidence_complete,action_observed,customer_reaction_observed,dm_redirect,notes
13,2129938,626950,11,0.45,1.0,0,positive_reaction,@AmazonHelp Hi.. Need help with one of the products that I had ordered. Appreciate your quick response! || @AmazonHelp A product that I bought isn't working anymore and is within the warranty period. || @AmazonHelp This is the product. No where mentioned how to make use of the warranty. https://t.co/OAz1tEFVWH || @AmazonHelp Order details https://t.co/8T4Gi6hStR || @AmazonHelp I know. Have not provided any detail. Thanks anyway!,"@626950 We'd be glad to help. Please do let us know how we can assist you today? ^EM || @626950 For further assistance please claim the warraty by contacting the manufacturer. (2/2)^BS || @626950 If the product is within the return window period, We'd help you with a return/replacement. (1/2) ^BS || @626950 We'd like to have a closer look, kindly reach out to our support team here: https://t.co/vlvfJr4nN9 &amp; we'll help you out. ^EM || @626950 Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​ ^EM || @626950 Sorry about the miscommunication, as mentioned earlier, please reach out to our support team via the above link. ^MS",,,,,
14,845680,321014,10,0.7,1.0,1,neutral_reaction,@AmazonHelp Will do! Account has been hijacked. Hope to hear from someone sooner rather than later. || @AmazonHelp I have been going back &amp; forth via email. Which is getting me no where. How do I talk to someone that can actually help?!? || @AmazonHelp No. I just seem to be getting the same ‘stock’ email. || @AmazonHelp  https://t.co/FZhMrc4tMh || @AmazonHelp Whenever I respond this is the email that keeps coming to me || @115821 - I didn’t realize that you hired account ‘spiritualists’ to handle account issues. Interesting #Amazon #myaccountsbeenhaked https://t.co/Tex56PK36S,"@321014 I'm sorry to hear this, Rebecca. Have our Specialists requested any additional information? ^BL || @321014 Hmm... that is odd, Rebecca. What exactly does the email you receive say? Does it ask you to fax something to us? ^AD || @321014 We're here to help! I've responded to your DM. ^JE || @321014 I'm sorry for the miscommunication. Please keep us updated on the response from our Account Specialists. ^JP",,,,,
15,1699752,515460,2,1.0,0.0,0,no_action_observed,@AmazonHelp Prime Photos is stuck at 100 and does not want to back up items any more. https://t.co/X4T2fKf4Uz,@515460 Please give us a call here: https://t.co/hApLpMlfHN so we can look into this and see what's going on! ^TR,,,,,
16,575311,231112,20,0.75,1.0,0,positive_reaction,@115821 @115850 @1840 @115851 @2517 @120320 @118341 @132458 @7291 @25348 This is the amazon services they will make a daily new excause and daily they raise a new complain...how can i trust on them tell me anyone........please close amazon in India https://t.co/U3hxViLIFS || @115821 @115850 @1840 @115851 @2517 @120320 @118341 @132458 @7291 @25348 you can see the above photo i informed them on 1dec itself but they don't register a complain on 1st dec they make a complain on 3rd dec what is this.. This is the service of amazon.in how irresponsible they are and also they telling lie... || @115821 @115850 @1840 @115851 @2517 @120320 @118341 @132458 @7291 @25348 Amazon make me very upset and irritate me and waste my time so i want to inform you please don't buy anything from amazon you will also have to face this type of situation in future please backward amazon || @AmazonHelp i want a call back i reply on mail but you didn't call me what is it mean i already provided  you screen short || @AmazonHelp I not received any call till now || @AmazonHelp No they will not call me || @AmazonHelp When they will contact me please mention the time so that I can trust on you || @AmazonHelp Pls give me perfect time || @AmazonHelp i told them contact me within 5 min but you contact me NO so why are you asking my preferred time || @AmazonHelp contact me on 6:30 PM IST || @AmazonHelp you can access all the things you bloody cheaters,"@231112 I understand your concern aslam, we've sent the correspondence to your registered email ID. Kindly check it here: https://t.co/8DAc10S7ww ^SP || @231112 We'd certainly want to help you. As mentioned earlier please reply to the correspondence received so we could assist you further. ^BS || @231112 Since you've already responded to our correspondence, you'd receive an update anytime soon. Appreciate your patience and understanding. ^EM || @231112 Kindly reply to the email sent to you from our executive escalations team and they will get back to you with an update. Appreciate your understanding.^HR || @231112 Please reply to the correspondence from our specialist team with more insight on this so that they can reach out to you accordingly. ^VN || @231112 Please reply to the correspondence with your preferred time and we'll connect with you soon. ^VH || @231112 I'm sorry we weren't able to contact you at your preferred timings. Kindly reply to the correspondence with your preferred timings and we'll contact you soon.  ^GD || @231112 Twitter being a social media platform, we wouldn't have the access to your account. Please respond to the email correspondence for further assistance. Appreciate your understanding. ^NK || @231112 Being a social platform, we won't be able to gain access to your account and check this for you. Please respond to the email correspondence for further assistance. ^VH",,,,,
17,1120448,384342,9,0.25,1.0,0,neutral_reaction,@AmazonHelp There is no such option in settings. || @AmazonHelp I am sharing the screenshot of the app screen. https://t.co/wSSvrdXR6q || @AmazonHelp Tried but there is no sugn out option .,"@384342 You may click on the three-line hamburger on the top left off the app and under settings you have an option to log out. ^KS || @384342 That's odd, you should be able to see a ""sign-out' option on the bottom of the setting page. Let us know if it's not available. ^PS || @384342 Kindly select your account option &gt; login and security to sign out. Do keep us posted. ^AK || @384342 You would find an option to ""Sign out"" only if you're logged in to the app. Looks like you've already logged out. To 1/3 ^GK || @384342 confirm kindly check the drop down, if you find an option to ""Sign in"", that indicates you've already logged out from 2/3 ^GK || @384342 the app. If the issue still persists, kindly uninstall and reinstall the app. 3/3 ^GK",,,,,
18,805536,311952,2,0.85,1.0,0,silence_after_action,@115850 I have not received my order but the status is showing as handed directly to customer. Please help!,@311952 Sorry for the hassle. Please report this to our support team here: https://t.co/vlvfJr4nN9 and we'll check this. ^HN,,,,,
19,2385836,687606,7,0.7,1.0,1,negative_reaction,Such a ridiculous service by #AmazonIndia.Rescheduled my delivery without informing me.Cancelling my order now. || @AmazonHelp I want solution not respond.Try to put some efforts in delivering product not https://t.co/uDcDVyDp0D wasted my 3 days. || @AmazonHelp I cancelled the order coz amazon failed to deliver it. Go check your chat section with my ID. I had contacted 3 ppl fro Amazon already.,"@687606 We've responded to your DM, please check. ^KA || @687606 Also, I've forwarded your feedback internally to the appropriate team as it helps us improve customer experience. 2/2 ^RS || @687606 Please accept a sincere apology for the mess. However, once an order is canceled, the same order cannot be delivered. 1/2 ^RS || @687606 I'm sorry about your canceled order. We've passed on your feedback to the concerned team internally and they'll check it. ^AU",,,,,
20,1445421,455412,2,1.0,0.0,0,no_action_observed,@115821 shocking when it comes to deliveries. “Attempted delivery” been sitting here all day no one has attempted anything. Shocking,"@455412 Oh no, I'm sorry, Josh! Please contact us via phone/chat here: https://t.co/JzP7hlA23B so we may look into this with you. ^KL",,,,,
21,379772,206096,4,1.0,1.0,0,neutral_reaction,@115850 I had ordered a Moto G5 plus and made a payment but it got cancelled without specifying any reason. Look into this asap. || @AmazonHelp The reason is not valid because at the time of ordering there were no terms as such.,"@206096 Canceled orders are followed by an email with the reason. Kindly check your registered email address for the same. ^SA || @206096 I'm sorry you feel this way, I'll be sure to forward this as a feedback internally. ^AG",,,,,
22,492239,232320,2,0.85,0.0,1,no_action_observed,@AmazonHelp can y’all respond to my DM 20 dollars in my bank account depends on it 😔,@232320 We've responded to your Direct Message! Let us know what we can do to help! ^MT,,,,,
23,812146,313526,3,0.6,0.0,0,negative_reaction,"I’ve never felt that where I lived was an issue. Thanks for proving me wrong @115830  @AmazonHelp || @AmazonHelp Yes, I can’t place the order because of where I live. 5 advisers have failed me tonight",@313526 This isn't how we want you to feel! Are you experiencing an issue with an order? ^WT,,,,,
24,340859,118712,3,0.6,0.0,0,neutral_reaction,Oh dear @115850 first deliver the products on time. V customers r really feed up with ur service. || @AmazonHelp N same thing happened for that Amazon basic usb lighting charge cable...,@118712 Sorry about the experience with delivery. Could you please elaborate on your concern? We'd like to look into it. ^HD,,,,,
25,2927074,215289,6,0.7,0.0,1,positive_reaction,"@AmazonHelp Once again a package arrived with merchandise we didn't order. What is going on?!!! 😡 || @AmazonHelp Please DM me a phone number. Thank you. || @AmazonHelp They told my roommate to keep the two items in the box, even though she didn't order them nor can she use them. Your company policy leaves much to be desired. Unbelievable! 😏","@215289 I'm so sorry for the frustration! We'd like to take a closer look at the issue. If you haven't already, please reach out to us directly via phone/chat here: https://t.co/Y5jpI9gRhE ^TN || @215289 You're welcome to DM us! However, you can click on the link that ^TN provided for different ways to contact us, including a phone number. We look forward to hearing from you. ^EB || @215289 Thanks for the update. Please let us know if this happens again.  ^SE",,,,,
26,206080,164802,4,1.0,1.0,0,neutral_reaction,"So I Pre Order my Xbox one X @115821 back in Aug Expecting it tomorrow all looked good till last min its changed till Wed, Never Again! 😡 || @AmazonHelp No I had to contact you guys myself! &amp; I was just told its been delayed &amp; to wait for an email in 3-4 hours for some reason?",@164802 Sorry to hear this - did you receive an email explaining the delay ? ^TD || @164802 Thanks for the info! Please keep us updated if it's not there by Wednesday. We'll be happy to review: https://t.co/J5cVftJLZO ^TM,,,,,
27,2809856,783622,2,0.6,0.0,0,no_action_observed,"Cuánto compromiso por parte de @116875, 11:45 llegó el paquete, pero cumplieron que hoy lo entregaban 👍🏼","@783622 ¡Hola César! Nos alegra mucho que hayas recibido tu pedido, aunque un poco tarde. 🙊😀 ¿Cuéntanos que has comprado? ^AD https://t.co/TOtLuFDtRc",,,,,
28,1511981,470933,6,1.0,1.0,0,neutral_reaction,"@115850 hey! why are you guys not allowing review for Amazon Echo? I have bought the product but unable to do so. Its wrong! || @AmazonHelp No error is coming when I click on the link to review it takes me to ""your reviews"" page where the product echo dot is not available. || @AmazonHelp Done via email.",@470933 Could you confirm the error which you have received while reviewing the product? ^JS || @470933 Kindly share your inputs with our team here: https://t.co/vlvfJr4nN9 we'd like to help. ^SG || @470933 Thanks for the heads up. Our support team will check this and get back to you shortly. ^SS,,,,,
29,1515353,471574,2,0.6,0.0,1,no_action_observed,@120533 Bonjour j’ai une question vous pouvez venir dm,"@471574 Bonjour, vous pouvez nous contacter en DM.",,,,,
30,472486,227516,8,0.6,1.0,0,negative_reaction,"@AmazonHelp I contacted @115830 the same day yet still no reply. #unhappycustomer || @AmazonHelp I emailed and left feedback || @AmazonHelp Hi, no there is nothing there. This incident has occurred around 5 times and I’ve never had a reply once about my complaints. || Yet again @115830 your delivery guys left a parcel outside my door in the rain... NOT my safe place AND I was home... please sort it out! I'd rather my orders not be damaged by rain😡#amazonUK #Amazon #AmazonPrime https://t.co/lWPZpVnScs","@227516 Did you reach out to us by phone or chat? ^RR || @227516 Did you check your junk/spam folder to see if a response has ended up there? ^KI || @227516 I am sorry to hear this Sophie. Can I ask, is it possible for you to click on the link provided to contact us through phone/chat so we can investigate this for you?^GA || @227516 This is certainly not what we expect to happen, Sophie! I truly apologize. Please reach us by phone or chat so that we can look into this: https://t.co/JzP7hlA23B ^AB",,,,,
31,972287,350636,5,0.85,0.0,1,negative_reaction,"@AmazonHelp Very bad feeling with amazon,alway send used and defective product and never accept to replace product and refund money || @AmazonHelp I got 2 defective product out of 3 or 4 in this month .""Uff amazon is very bad""","@40875 Hence, request you to wait till the estimated delivery date. I’m positive that the package would be delivered to you. 2/2 ^SB || @350636 We're responding to your query via DM. ^AP || @350636 We're sorry to hear this. Please report this to our support team here: https://t.co/vlvfJr4nN9 and we'll help you soon. ^RS",,,,,
32,1922923,572420,3,1.0,0.0,1,positive_reaction,@115821 hi there i had ordered a product and its not delivered on time even paying the extra money for delivery.. || @AmazonHelp Got it thanks,@572420 We have responded to you via DM. Kindly check. ^MP,,,,,
33,2771668,774757,4,1.0,1.0,0,neutral_reaction,"@115830 service is getting worse... second time in a week that an order made with “prime next day delivery” has not arrived and won’t be here today.. not impressed || @AmazonHelp Arriving date is set to be today, checked online and hasn’t even been dispatched, online chat said will now be delivered tomorrow. Second time in a week that it has happened. Wondering why I pay for prime",@774757 I'm so sorry to hear your order is not arriving today! Have we missed the expected delivery date listed on the order confirmation email? ^RO || @774757 I'm sorry to hear there is a delay on your order! Please keep us updated on the arrival of your delivery. We're here for you! ^KJ,,,,,
34,2790617,778860,4,1.0,1.0,0,negative_reaction,"Lovely @AmazonHelp and @118706 say my item was delivered today but it's not here. And there's no where to contact Amazon about that in the app or to ""return"" a product you didn't receive. And I need it today! || @AmazonHelp That link doesn't go to any tips. Just my order page where I can't do anything about the fact my package says it was delivered but wasn't.","@778860 I'm sorry about this experience! Here are some tips that may help find your package: https://t.co/pmKMJfkBoB ^TR || @778860 Oh no! I'm so sorry about that, Tracy! Try this link: https://t.co/Y4hwXoNXVw for locating your package! If it is still missing, reach out to us here: https://t.co/hApLpMlfHN for assistance with this! Keep us updated! ^FR",,,,,
35,792046,308866,6,0.75,0.0,1,positive_reaction,@AmazonHelp can you DM me please there is a copyright issue with a book on your kindle store! I get pretty pissed off when someone's 1/2 || @AmazonHelp Sent and explaining something I had hoped not to discuss again with strangers || @AmazonHelp Thank you || @AmazonHelp Thank you for your quick  responce,@308866 I have enabled direct messaging so we can work together. Please provide a link to the book via DM and we'll go from there! ^FD https://t.co/1XyLaGkcaN || @308866 I've received your DM and I'll be replying there. ^LB,,,,,
36,2634848,743843,9,1.0,1.0,1,positive_reaction,"@115850 @115851 @1840 Refund regarding order 4__credit_card__.
this order done on nov. 7th.
and i replace it on nov 9th.
But till now no update or customer satisfaction revert by amazon.
Every time amazon representative tell me a new story about my money. https://t.co/nKgKpHXSIX || @AmazonHelp it's been 9 days and i haven't receive a proper response from you guys. || @AmazonHelp already done || @AmazonHelp and please check my 2nd tweet .
how your chat representative behave with a Customer. || @AmazonHelp @115850 @115851 @1840
I am waiting since nov. 9th .
Still it's not resolved by your representatives.
I hope now someone call me today with a better response.
and last but not the least I want my money back.
Thanks!!!
@743843","@743843 We have responded to your DM. Please check your inbox for the same. Further, please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^SD || @743843 I get your disappointment. Request you to share the details using the link provided earlier and we'll have this checked for you. ^SD || @743843 Thank you for sharing your details, we've received them. Rest assured, we'll look into your concern and get back to you with further assistance. Appreciate your understanding and patience, while we work on your concern. ^SV || @743843 Sorry for the experience you've had. As informed, we're working on your concern and we'll get back to you with an update at earliest. Appreciate your understanding and patience in this regard. ^SV",,,,,
37,1113824,382871,6,0.6,0.0,0,negative_reaction,@128308 Fire TV stick users not getting subtitles.Not even with movies downloaded for offline viewing in mobile. || @AmazonHelp This issue is there since last one month and support has been informed.Why no resolution? || @AmazonHelp What details u require,@382871 I'm sorry for the trouble. Have you reached to our support team here: https://t.co/2t6DQoUmNZ? ^RW || @382871 Please provide your details here: https://t.co/beaaDm0muc &amp; we'll assist you in your concern right away.^SF || @382871 The details asked in the link which has been shared above. Appreciate your understanding in this query. ^HR,,,,,
38,2959926,816926,4,1.0,1.0,0,negative_reaction,"PSA: don't waste your money on @116090 Prime as the 2 day free shipping is a joke. It has been 4 days since placing the order and guaranteed delivery date was Mon Nov 27. Still no package and last delivery update was Mon Nov 27 at 1:23pm saying the item is ""out for delivery"" || @AmazonHelp Intelcom. I never heard of them before and read bad reviews on them that are coming true in my situation. When I ordered before, I never had this issue with UPS or Canada Post.","@816926 Oh no! I'm sorry about the delay of your package. We'd like to assist you with this. Who was the carrier for this package? ^GP || @816926 I know how frustrating this can be. Have you had a chance to reach out to the carrier? If not, you can find their contact info here: https://t.co/Z9jhrOnGOs  Please keep us updated on the status of your package. ^BA",,,,,
39,2821612,786366,2,0.7,0.0,1,no_action_observed,"@AmazonHelp Hello, how can I cancel the subscription??? Without my participation the money deducted from the card.","@786366 Hello, we have responded to your DM. ^CR",,,,,
40,1325479,429294,2,1.0,1.0,0,silence_after_action,@AmazonHelp how can i find out what company is delivering my package? Order late and i need it in 2 hrs.,@429294 You can check the carrier and tracking information here:  https://t.co/aaDyEz1VgE ^MW,,,,,
41,2593148,734121,3,0.6,0.0,0,positive_reaction,".@AmazonHelp Where's the apology?  Where's the explanation for the failure in service?  We just go radio silent and hope no one calls us on it. || @AmazonHelp Thank you for your concern and efforts to help.  I appreciate it, but the fact is if you promise 2 day delivery you need to follow through barring horrific weather which is not the case here.",@734121 I'm sorry for our delayed response and any frustration this may have caused! We're sorry for the delay. Late packages tend to arrive the following day. Please keep us posted. Our carriers have until 8PM to deliver and we want to make sure you receive your order. ^AG,,,,,
42,2187356,640547,2,1.0,1.0,0,silence_after_action,@115821  @AmazonHelp #RT432247465IN I know that Amazon is not a fraud company pls refund as early as possible . No more discussions pls,@640547 I understand that you are having a refund issue. Have you reported this to our support here: https://t.co/vlvfJr4nN9? ^AH,,,,,
43,2213789,646945,3,0.25,0.0,0,no_action_observed,@AmazonHelp Hey looks like it's back ! Thanks ! 😀 || @115850 Why not available today all of a suddenly when I was watching till yesterday. Very bad experience ! https://t.co/HTKI2d706y,@646945 We will let you know when these episodes are back. We’re really sorry for the inconvenience caused. (2/2) ^VM,,,,,
44,727818,294362,4,1.0,1.0,0,silence_after_action,@10827 @AmazonHelp @115821 yesterday placed order against prime but delivery boys update wrong status on the web od#404-3458920-7446761,"@294362 we'll have this checked for you. (2/2) ^KA || @294362 Sorry to know about the delivery issue. Please report the issue to our support team here: https://t.co/00q4Sqj9zL and (1/2)^KA || @294362 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^KA",,,,,
45,1666207,144477,3,0.85,1.0,0,silence_after_action,"@AmazonHelp 
Order not received
Order# 402-8236444-9314749
Status:Delivered yesterday
Courier: Delhivery, Tracking #: 5180792515113","@144477 We understand you are yet to receive your order. I'm sorry the tracking status was marked as delivered and you have not yet received the product. Let me investigate this further and help assist. Kindly fill in your details here https://t.co/hNzZfZFkiM (1/2) ^VM || @144477 and we'll reach out to you for assistance. Please don't provide your order details, as we consider it to be personal information. Our Twitter page is visible to the public. (2/2) ^VM",,,,,
46,1279904,419469,5,0.75,0.0,0,negative_reaction,@AmazonHelp still not sure how this is supposed to arrive in a hour and a half? https://t.co/9VekWLTO4q || @AmazonHelp Seriously though I’m so sick of my packages arriving late. || @115821 what is the point in paying for prime shipping when my packages never come on time!!!! 😡 https://t.co/meTiHByBSp,"@419469 I'm sorry your package hasn't arrived. Please reach out to us via phone here: https://t.co/hApLpMlfHN ^MW || @419469 Hello, Ashley! It is not uncommon for items to ship out and be received same day! Please keep us posted on this order. ^JZ",,,,,
47,1731188,416525,2,0.75,0.0,0,no_action_observed,can't sort prices in #amazonwishlist anymore 😦😟😳😣why @115821 @AmazonHelp @115850 why?? makes no sense! I got big lists. need to sort. 😔,"@416525 Apologies for that, Ashish. I'll make sure the concerned team is notified about this, I'd take your feedback across. ^JC",,,,,
48,2578577,731044,2,1.0,1.0,0,silence_after_action,How exactly does my order make it out for delivery and then all of a sudden disappear? @115821 🤔🤔🤔 https://t.co/kE0im5wnIQ,"@731044 That is odd! I'd like to have a Logistics Specialist investigate this matter personally. When able, please provide us in depth details here: https://t.co/3p9mMCB5Ka ^JE",,,,,
49,1482918,361883,9,1.0,0.0,1,negative_reaction,"Apparently one of the benefits of @115821 and #amazonprime is a passive aggressive agent and not shipping by est deliv dates. #awesome! || @AmazonHelp I never received a survey, and the only options presented were like pulling teeth. No options were presented. Miserable service || @AmazonHelp DM me please? || @AmazonHelp Or do I need to continue on here? || @AmazonHelp Or not","@361883 We'd like to ensure you receive your delivery. What options did we provide when you spoke with us? (2/2) ^DG || @361883 I'm sorry for the poor experience! We appreciate the feedback. Please fill out the survey provided after your call/chat. (1/2) || @361883 We are here to help! What is the current status of your order? You can find out here: https://t.co/kTdtg79hsI || @361883 Hey Matt, I'm sorry for the delay in our response! We'll be happy to DM with you: https://t.co/3Z71QycggA ^PF",,,,,
50,2451214,318345,4,0.75,0.0,0,positive_reaction,"@AmazonHelp Good evening! I qualified for the £6 promo code thanks to buying a gift card, and the email says it has been automatically (c) || @AmazonHelp (c) applied to my account but I can't find it? Would it be in my Amazon wallet or elsewhere? Any help would be appreciated! || @AmazonHelp Thank you so much! Found it. Have a lovely evening!","@318345 If it was a gift card, it will show up here: https://t.co/ud1oVmfA0s. If it was a promotion, it will show at checkout. ^AF",,,,,
51,380430,206228,4,0.6,1.0,1,neutral_reaction,@115850 please check the DM sent to @AmazonHelp abd revert. || @115850 @AmazonHelp Your response is of no help to me.I have already returned that item to one of your agent on the weekend.I want you to confirm on the refund.,"@206228 Hi, we have responded to you via DM. Please refer. ^RD || @206228 Refunds for returns are normally processed within 10 business days. Kindly wait until then. ^SA",,,,,
52,1430379,452179,3,0.6,0.0,0,positive_reaction,amazon where are my cookies you said they would be here wednesday but now it is thursday and i am cookieless || @AmazonHelp i found them thank u,@452179 Hi. My apologies for this. Is there any tracking info being displayed for them? ^DC,,,,,
53,352903,199910,15,0.65,1.0,1,neutral_reaction,"@AmazonHelp Invoice https://t.co/VIjKF6LK2E || @AmazonHelp Subscription amount https://t.co/XwUdiUKuQb || @AmazonHelp I hope you are referring this DM, but it is not all fruitful for me and in mail also nothing had came. https://t.co/5SdXdh2hjo || @AmazonHelp Now simply answer my question why 1 tym amount u ppl chargd, when u send me monthly subscription item. Plz be specific. || @AmazonHelp Sir, how you can send me subscription item on one time purchase rate, after numerous reminders in these 2 days your side response is pathetic. After subscribing, rarely i see the amount of subscribed product you send. || @AmazonHelp which link? please share link! || @AmazonHelp contact number 9752092631 || @AmazonHelp Sir, I had filled the details in your respective link. Please do the needful.","@199910 We have replied to your DM. Please check. ^MJ || @199910 That's quite a remark, Venkat. Apologies. Please reply to the email we've sent to your registered email. We'll check your concern and help you further. ^SV || @199910 I understand your concern. Could you confirm sharing your details on the link provided earlier? ^JS || @199910 Please share your details here: https://t.co/beaaDm0muc and we'll contact you soon.​ ^JS || @199910 We do not have access to your details over social platform. Please use the link given earlier and fill the form. We will check and connect with you accordingly. ^RW || @199910 Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​ ^RW || @199910 Thank you for sharing your details, we'll get back to you soon. ^SU",,,,,
