annotation_id,conversation_id,customer_id,turn_count,D1_context_specificity,D2_action_specificity,D3_dm_redirect,D4_observable_outcome,customer_messages,agent_messages,evidence_complete,action_observed,customer_reaction_observed,dm_redirect,notes,suggested_evidence_complete,suggested_action_observed,suggested_customer_reaction_observed,suggested_dm_redirect
192,311046,190284,11,0.25,0.0,0,negative_reaction,@AmazonHelp Thanks guys my problem is solved || @115850 i don't know why you put restrictions on adding of money in Amazon pay. Help me to out this my id is __email__ || @AmazonHelp Five days gone but problem is still there || @AmazonHelp Already done but still the problem is not resolved by Amazon. Worst experience of Amazon || @AmazonHelp @115850 worst service by you || @AmazonHelp Already talked to your customer care but no solution provided,"@190284 Please don't provide your account details, we consider it to be personal information. Our page is visible to the public. ^KA || @190284 We can't gain access to your account via Twitter. Please connect with us here: https://t.co/00q4Sqj9zL for assistance. ^KA || @190284 Sorry for the trouble. Please share your details here: https://t.co/GIJyeYqKE0 and I'll get back to you at the earliest. ^HN || @190284 If you have shared your details, we'll reach out to you at the earliest. Keep a tab here:  https://t.co/DTSNmGldJf. ^CB || @190284 I get your disappointment. Our social media team will get in touch with you soon regarding the issue. Request you to wait.^NK",YES,NO,YES,NO,,NO,NO,YES,NO
169,1767527,531480,7,0.45,1.0,1,negative_reaction,"Honestly let down with @AmazonHelp  and ther services that they poorly provided me. || @AmazonHelp My recent purchase came in a busted box with the wrong size shoe and the shoe looked used and gross! || @AmazonHelp If you could direct message me I️ can give more details || @AmazonHelp No, they were prime shipping and sold by amazon","@531480 I'm sorry for the trouble! Without revealing account details, could you tell us more about the issue? ^LJ || @531480 We're unable to access account info over social media, even in a DM. Were the shoes sold by Amazon or a third party? ^CH || @531480 Sorry it arrived in that condition. We'd be happy to review your options here: https://t.co/EKXRLsnxJu ^AF",NO,NO,NO,YES,,NO,YES,YES,YES
91,1773832,533107,5,0.6,1.0,0,negative_reaction,"@AmazonHelp I've found it, thanks! One other question: When I send documents to my  Android app, it gives me an error that something was wrong. || @AmazonHelp This is all it says on my Galaxy S7 when I try to send a document to the app. However on my tablet and via email it works perfectly fine. https://t.co/ZnRjWUgcTm",@533107 I'm sorry for the difficulty! Please check this link: https://t.co/Dbi2b4aD3L for assistance! ^TR || @533107 That's odd. What type of error are you experiencing exactly? We'd be happy to help! ^SK || @533107 Reach us here so we can have a look into this with you: https://t.co/EGuNnVFGFF ^CL,NO,NO,NO,NO,,YES,YES,YES,NO
81,745999,298339,5,0.85,0.0,0,positive_reaction,"@AmazonHelp We finally got a hold of a supervisor that understood. However, my American Express was still charged twice. Done w/ #amazon || @AmazonHelp My payment went through twice. Thank God for#americanexpress for handling it. || #amazon has the worst customer service ever. Don't ever order from them. Not only messed up my order but won't fix it.","@298339 When you spoke with us, were we able to explain to you, what the second charge was for?  ^AG || @298339 I'm so sorry to hear this!We'd like to help in any way we can.Do you mind telling us a little more about what's going on?^NM",NO,NO,YES,NO,,NO,NO,YES,NO
107,377467,205570,2,0.45,0.0,1,negative_reaction,"@AmazonHelp habe ein Problem, kann mich nicht mehr einloggen, Passwort zurück setzten funktioniert nicht. Habe bereits eine DM geschrieben.",@205570 Guten Morgen! Haben dir per DM geantwortet. Ganz lieber Gruß ^TG,NO,NO,NO,YES,,NO,NO,YES,YES
147,2710355,761040,3,0.75,0.0,0,neutral_reaction,"@115821 packaging fail. :( my child knew what was in this box immediately. Batmans cave. Guess ""santa"" won't be bringing this one..mom and dad will. #failure #amazon https://t.co/tuR7KB8Xw2 || @AmazonHelp I did, but didn't alltach the photos.",@761040 I'm sorry the surprise was ruined. Please be sure to share your feedback with our packaging team: https://t.co/vIWWNKncUA ^KB,NO,YES,YES,NO,,NO,NO,YES,NO
189,513546,221202,2,0.6,0.0,0,no_action_observed,"@AmazonHelp como dije ayer, muy buen trato y con soluciones, gracias de nuevo y felicidades por el servicio de atención al cliente que ha sido muy agradable. Un saludo.","@221202 ¡Hola, Raquel! ¡Tu felicidad es nuestra felicidad!, siempre trabajaremos por ser los mejores para nuestros clientes. ¡Esperamos que tengas un muy lindo fin de semana! ^DS https://t.co/RgKtN63jgz",YES,NO,NO,NO,,NO,NO,NO,NO
119,1080303,169190,5,0.85,0.0,0,positive_reaction,"@AmazonHelp Hello, one question. Bought two gift cards at GameStop. Will they apply to my preorder detail before Amazon charge and ship? || @AmazonHelp Already preordered the game before I bought the gift cards. Gift card option is available inside the detail, can I apply them? || @AmazonHelp Don’t worry, I got everything sorted out. Thanks!","@169190 If you have the gift cards issued to your account, then you'll be given the choice of payment options at checkout. ^EM || @169190 We'd be happy to look at available options with you. Please reach us by phone here: https://t.co/hApLpMlfHN ^JM",YES,YES,YES,NO,,NO,NO,YES,NO
45,1666207,144477,3,0.85,1.0,0,silence_after_action,"@AmazonHelp 
Order not received
Order# 402-8236444-9314749
Status:Delivered yesterday
Courier: Delhivery, Tracking #: 5180792515113","@144477 We understand you are yet to receive your order. I'm sorry the tracking status was marked as delivered and you have not yet received the product. Let me investigate this further and help assist. Kindly fill in your details here https://t.co/hNzZfZFkiM (1/2) ^VM || @144477 and we'll reach out to you for assistance. Please don't provide your order details, as we consider it to be personal information. Our Twitter page is visible to the public. (2/2) ^VM",NO,YES,NO,NO,,YES,YES,NO,NO
152,1736150,131779,10,0.85,1.0,0,neutral_reaction,"Hi @AmazonHelp - is it possible to get help on an order I haven't placed yet? Your website doesn't seem to allow it. || @AmazonHelp Trying to get free standard locker delivery to my office building but it's not offering it to me. Faust or Katy lockers. || @AmazonHelp No error, just wants to charge me for next day locker delivery. I just want free standard delivery. Available at other lockers. || @AmazonHelp No use at all. Already seen that which is why I came to you. || @AmazonHelp I do, but I don't want it sent elsewhere as it's heavy || @AmazonHelp Order cancelled.","@131779 Are you getting an error message?^CD || @131779 Hi Ben- Locker delivery might not be an option for this item? Are you receiving any error message? ^NV || @131779 Thanks for confirming, Ben! Please review the following helpful info: https://t.co/uE56TDmn7j. Let us know if this is helpful! ^SD || @131779 Sounds like it is unavailable at this Locker: https://t.co/6ZH03m2uWC Do you see free shipping when you select another address? ^AF",NO,YES,YES,NO,,YES,YES,YES,NO
25,2927074,215289,6,0.7,0.0,1,positive_reaction,"@AmazonHelp Once again a package arrived with merchandise we didn't order. What is going on?!!! 😡 || @AmazonHelp Please DM me a phone number. Thank you. || @AmazonHelp They told my roommate to keep the two items in the box, even though she didn't order them nor can she use them. Your company policy leaves much to be desired. Unbelievable! 😏","@215289 I'm so sorry for the frustration! We'd like to take a closer look at the issue. If you haven't already, please reach out to us directly via phone/chat here: https://t.co/Y5jpI9gRhE ^TN || @215289 You're welcome to DM us! However, you can click on the link that ^TN provided for different ways to contact us, including a phone number. We look forward to hearing from you. ^EB || @215289 Thanks for the update. Please let us know if this happens again.  ^SE",NO,NO,YES,YES,,NO,NO,YES,YES
57,170894,155855,6,0.75,1.0,1,neutral_reaction,"@115830 Can someone please DM me about your shocking customer service and crap Black Friday ordering.  You’re on a par with @252 right now, and the whole world knows how shit they are! 🤬😠😤 || @AmazonHelp Are you able to trace online chats or do I need to screenshot what is happening ? I am beyond fed up with the *help* I’ve got tonight! 😤 || @AmazonHelp It is far too long winded to discuss on Twitter. I have got nowhere with live chat. Am fed up with the way I’ve been treated by your customer services tonight 😩😤 What do I do now?","@155855 We'd like to help! Please use the link below to DM with us. As a reminder we don't have access to your Amazon account; please refrain from providing personal or account details.  ^AG https://t.co/1XyLaGkcaN || @155855 For security, we are unable to view customer account details on Twitter. However, our chats are recorded. Please let us know what's going on. ^BH || @155855 Understood. Without posting account or order details, can you please tell us about the initial issue you were trying to get resolved when you contacted us? https://t.co/1XyLaGkcaN",NO,YES,NO,YES,,NO,YES,YES,YES
43,2213789,646945,3,0.25,0.0,0,no_action_observed,@AmazonHelp Hey looks like it's back ! Thanks ! 😀 || @115850 Why not available today all of a suddenly when I was watching till yesterday. Very bad experience ! https://t.co/HTKI2d706y,@646945 We will let you know when these episodes are back. We’re really sorry for the inconvenience caused. (2/2) ^VM,YES,NO,NO,NO,,NO,NO,NO,NO
128,1349077,434614,4,0.0,0.0,1,positive_reaction,@AmazonHelp Got cashback thanks || @AmazonHelp haven't received  amazon pay cashback.did 1st jio recharge of 399 using amazon pay today.pls help || @AmazonHelp Ok.thanks,"@434614 We've responded to your query via DM, please check. ^HA",YES,YES,NO,YES,,NO,NO,YES,YES
114,1034249,364675,9,0.85,0.0,1,negative_reaction,"@AmazonHelp I had accidentally ordered a wrong item, only getting to know after delivery and payment. No option for refunds!? WHY? || @AmazonHelp You give refunds? Yes or no. || @AmazonHelp No, you don't appreciate my understanding. I asked yes or no!? Can't you just reply || @AmazonHelp Not a particularly fitting reply. If I wanted to communicate thru emails, why would I have tweeted it? Shitty CS.","@364675 Please report this to our team here: https://t.co/vlvfJr4nN9 and we'll get this sorted soon. ^RS || @364675 Kindly contact us from the link given and we'll help you in getting this issue resolved. Appreciate your understanding. ^ZH || @364675 We've responded to your DM. Please check. ^HK || @364675 This being a public portal we would be unable to view your account/order details. However, for us to assist you better,(1/2) ^VM || @364675 please reach us via the link provided earlier and we'll reach out to you soon. (2/2) ^VM",NO,NO,YES,YES,,NO,NO,YES,YES
120,695119,285785,6,1.0,0.0,0,neutral_reaction,"@AmazonHelp you guaranteed one day delivery and now my items might take 4 days? I bought extra items just to hit the $35 limit. You guys are snakes. || @AmazonHelp November 22 || @AmazonHelp I don’t need an order status, I want something from you guys. My order status says it might not get here til Sunday now. That’s absurd",@285785 I'm sorry for the wait. What is the delivery date listed within your order confirmation e-mail? ^GR || @285785 Thanks for that! What is the status showing for your order? Order status can be located here: https://t.co/Y5jpI9gRhE ^TE || @285785 I'm sorry for the delay! Please reach out to us via phone/chat here: https://t.co/hApLpMlfHN for real-time assistance with this. ^TK,NO,YES,YES,NO,,NO,NO,YES,NO
198,2747173,769255,2,1.0,1.0,0,silence_after_action,My @115821 order said it had guaranteed delivery on Nov. 22nd but has not even been shipped... what’s up with that?,"@769255 Sorry for the delay, Kaitlin! Have we sent you an e-mail with an updated delivery date? You can check that here: https://t.co/2IHxMGT60b If not, please reach out to us here so that we can investigate the delay: https://t.co/hApLpMlfHN ^EA",NO,YES,NO,NO,,YES,YES,NO,NO
195,505803,236026,5,1.0,0.0,1,positive_reaction,I just had the worst service with @115821 that I’ve ever had and as an Amazon Prime member it’s sad how rude I was just spoken to. 😕 || @AmazonHelp Please DM me if you could! I asked to speak to another associate due to rude service and was told no. Not what I expect as a prime member. || @AmazonHelp Just did! Thank you,"@236026 This is not what we expect! Please remember to send your feedback via the e-mail you will receive, it goes to the agent's supervisor. We would also like to help solve your initial issue. Without sharing any account information can you explain a bit further? ^LS || @236026 We would love to get more details from you about this unfortunate incident, Mariah, but we are unable to initiate DM's through Twitter. However, we are more than able to respond, so please send us a Direct Message, and we will do everything we can to assist! ^JD",NO,NO,YES,YES,,NO,NO,YES,YES
100,1742679,162488,4,0.7,1.0,0,neutral_reaction,@AmazonHelp when will my account will be unlocked...🙄🙄🙄😥😥😥......I need my account to be unlocked please help || @AmazonHelp No email linked to account 😭😭😭,"@162488 Sorry to know that your account is locked, Devesh. Please respond to the email sent to you by our Account specialist team. ^MP || @162488 My apologies, Devesh. Please reach out to us via: https://t.co/z71JuXxmYn and we will have this checked further. ^KS",NO,YES,YES,NO,,YES,YES,YES,NO
13,2129938,626950,11,0.45,1.0,0,positive_reaction,@AmazonHelp Hi.. Need help with one of the products that I had ordered. Appreciate your quick response! || @AmazonHelp A product that I bought isn't working anymore and is within the warranty period. || @AmazonHelp This is the product. No where mentioned how to make use of the warranty. https://t.co/OAz1tEFVWH || @AmazonHelp Order details https://t.co/8T4Gi6hStR || @AmazonHelp I know. Have not provided any detail. Thanks anyway!,"@626950 We'd be glad to help. Please do let us know how we can assist you today? ^EM || @626950 For further assistance please claim the warraty by contacting the manufacturer. (2/2)^BS || @626950 If the product is within the return window period, We'd help you with a return/replacement. (1/2) ^BS || @626950 We'd like to have a closer look, kindly reach out to our support team here: https://t.co/vlvfJr4nN9 &amp; we'll help you out. ^EM || @626950 Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​ ^EM || @626950 Sorry about the miscommunication, as mentioned earlier, please reach out to our support team via the above link. ^MS",NO,YES,YES,NO,,YES,YES,YES,NO
66,327026,193934,5,1.0,1.0,0,neutral_reaction,"@115823 
Amazon pay failed.
Money Deducted Twice from my account and customer care told that deducted transaction is not showing to them. || @115823 @115850 
Amazon pay failed.
Money Deducted Twice from my account and customer care told that deducted transaction is not showing to them. || @AmazonHelp That was not feedback .
It was complaint.",@193934 Sorry for the hassle Manish. I'll surely pass on your feedback to the concerned team internally. ^HN || @193934 Apologies for the confusion. Please write to us here: https://t.co/GIJyeYqKE0. We'll get this checked. ^VN,NO,YES,YES,NO,,YES,YES,YES,NO
72,2394498,689341,2,0.6,0.0,1,neutral_reaction,@115850 @115851 Do you guys outsource your sellers onboard campaign in India or not..??.@93495 @93496 solution outsourcing this.??,"@689341 I wasn't able to comprehend your concern, Phani. Kindly DM us your question in detail so that we can help you with further information. ^NK",NO,NO,NO,YES,,NO,NO,YES,YES
132,358786,200977,21,0.75,1.0,0,positive_reaction,"@115830 then to be told that you can’t even contact the driver to tell him to do his job properly? What a joke from a multi billion £ co. || @AmazonHelp Did that already, twice actually absolutely useless, delivery man didn’t actually delievery item now im being told it might be another day? || @AmazonHelp What’s the point in paying for prime? You can’t even contact your drivers? your customer service mngrsdidnt care just made me madder || @AmazonHelp I pay for prime, I paid for a service, wIted all day for my package, only to have an attempted delivery at the end of the day and I was in!? || @AmazonHelp That there’s nothing anyone can do, they can give me more prime extension (which I absolutely don’t want), that they’ll email the depot || @AmazonHelp I don’t care about the more prime, I paid for a service and this isn’t even the first time it happens a lot, very frustrating || @AmazonHelp You’re now asking me to take a day off work to wait for a package which might not come till the end of the day? || @AmazonHelp You can’t even contact your driver to tell him to come back?? What is that about? I waited all day for my stuff || @AmazonHelp I was actually standing downstairs with my son at 4pm funnily enough saying bye to my mother when your driver supposedly was delivering || @AmazonHelp Which is what makes this whole situation a bigger joke, I just want my package today!! Cause I waited all day for it to arrive || @AmazonHelp So what do you intend on doing about this ?? Because this is an absolute joke? I paid for a service which you have not adequately provided || @AmazonHelp 1/2: no you didn’t, but once again, I don’t want feedback, I want my package || @AmazonHelp 2/2:  there is no safe place I live in a flat hence why I was in waiting all day, I have my neighbour as a just in case || @AmazonHelp But your driver didn’t even come to the door at hence my frustration, let’s get my package to me now as apposed to asking me questions || @AmazonHelp So when are you going to ask me for my order number? It’s ok...I’ll wait || @AmazonHelp Perfect, so just to confirm...you’re doing absolutely nothing..as expected #useless","@200977 I'm sorry to hear about the trouble! We'd like to look into this further. Please contact us here: https://t.co/JzP7hlA23B ^HC || @200977 When you contacted us, what information and options were given to you? ^HC || @200977 When you spoke with us, did we provide feedback to the carrier regarding the delivery issue? 1/2 || @200977 2/2 Have you set up a Safe Place for your unattended parcels: https://t.co/CanBpvHvUm?  ^CO || @200977 Terribly sorry for the delay, and appreciate your patience as we attempt re delivery for tomorrow. Keep us posted! ^JZ",NO,YES,YES,NO,,YES,YES,YES,NO
7,2053570,161159,2,0.7,0.0,1,no_action_observed,"@AmazonHelp Having a problem with my Prime account, DM if you can","@161159 We'd like to help, you can DM us using the link below. Please remember to not include personal, or account information. ^AG https://t.co/1XyLaGkcaN",NO,NO,NO,YES,,NO,NO,NO,YES
47,1731188,416525,2,0.75,0.0,0,no_action_observed,can't sort prices in #amazonwishlist anymore 😦😟😳😣why @115821 @AmazonHelp @115850 why?? makes no sense! I got big lists. need to sort. 😔,"@416525 Apologies for that, Ashish. I'll make sure the concerned team is notified about this, I'd take your feedback across. ^JC",NO,YES,NO,NO,,NO,NO,NO,NO
187,1208365,403718,2,0.6,0.0,0,no_action_observed,Hi! @116316 is there any chance to get support from you in english? I need to solve a problem!!!,@403718 How can we help you? What's the problem? Kind regards ^MF,NO,NO,NO,NO,,NO,NO,NO,NO
127,1416039,449086,2,0.0,0.0,0,neutral_reaction,あにょ...Amazonさん...お支払い番号はまだでしょうか...,@449086 お待たせしております。https://t.co/st4oU5QbhPが発送する商品の場合、お支払い番号は商品が出荷準備に入りしだい発行されます。詳しくは、こちらのヘルプページをご参照ください。https://t.co/MCsyqdVdSq YM,YES,YES,NO,NO,,NO,NO,YES,NO
32,1922923,572420,3,1.0,0.0,1,positive_reaction,@115821 hi there i had ordered a product and its not delivered on time even paying the extra money for delivery.. || @AmazonHelp Got it thanks,@572420 We have responded to you via DM. Kindly check. ^MP,NO,NO,YES,YES,,NO,NO,YES,YES
118,191621,161040,3,0.6,0.0,1,positive_reaction,Preordered #StarWarsBattlefrontII from @115821 and I haven’t received my code for the beta @AmazonHelp || @AmazonHelp Thanks 🙏,@161040 Hello Francisco! WE have replied to your DM. ^DD,NO,NO,YES,YES,,NO,NO,YES,YES
31,972287,350636,5,0.85,0.0,1,negative_reaction,"@AmazonHelp Very bad feeling with amazon,alway send used and defective product and never accept to replace product and refund money || @AmazonHelp I got 2 defective product out of 3 or 4 in this month .""Uff amazon is very bad""","@40875 Hence, request you to wait till the estimated delivery date. I’m positive that the package would be delivered to you. 2/2 ^SB || @350636 We're responding to your query via DM. ^AP || @350636 We're sorry to hear this. Please report this to our support team here: https://t.co/vlvfJr4nN9 and we'll help you soon. ^RS",NO,YES,NO,YES,,NO,NO,YES,YES
